trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",20,0,-154.75936431167344,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.994}",35,0,-103.16531209754339,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.991}",25,8,-87.891375682381,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.988}",25,0,-179.4635996878954,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.985}",20,0,-80.66441962148232,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.982}",20,0,-137.2797641872247,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.979}",25,7,-82.0025128938605,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.976}",30,0,-236.19064616957053,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.973}",20,0,-145.1087110521578,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.97}",20,0,-25.61543031708732,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.967}",20,0,-17.73801189115269,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.964}",25,0,-98.01410875034627,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.961}",30,0,-218.8314454512119,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.958}",20,0,-25.19469532341564,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.955}",25,0,-113.2940714346832,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.952}",30,0,-123.23718598049095,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.949}",20,0,-157.82463218737377,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.946}",20,0,-62.44415472351833,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.943}",25,0,-163.41923038570974,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.94}",20,0,-90.39365307659848,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9369999999999999}",25,0,-77.41349745084328,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9339999999999999}",30,0,-183.5286822201092,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9309999999999999}",25,0,-82.89611340281883,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9279999999999999}",30,0,-99.50607361701572,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-215.11016723579826,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.9219999999999999}",30,0,-194.8894677103441,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9189999999999999}",20,0,-81.30359284543556,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9159999999999999}",30,0,-170.98363428261004,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.9129999999999999}",30,0,-137.02492324641852,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-35.10231945096001,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
