trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.380650769256874,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.44532539215696,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.63681317452583,"{0: 14, 1: 2, 2: 12, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,8,-16.79749223262865,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.50998263589645,"{0: 10, 1: 6, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.42875809308636,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.523303107175128,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.10101022257345,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.52418191606502,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,1,-121.09933949232882,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.68212688583432,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.68294747396888,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.4692551249617,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.07847051011547,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,4,-14.892666890713745,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-51.63858823260902,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.99336097262406,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.22864506694496,"{0: 10, 1: 4, 2: 10, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.41783346593306,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.98827439166178,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.2081102001516,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.32701590352002,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.40172258028754,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.61558275146712,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.37635424157267,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-190.0821965362026,"{0: 18, 1: 5, 2: 9, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,8,-46.81620834060066,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.25553200440928,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
